cluster,subcluster,sub_subcluster,indicator_num,indicator,source,variable,status,note
institutional_environment,degree_of_integrity,,1,Absence of corruption,WJP,wjp_rol_2,ok,
institutional_environment,degree_of_integrity,,2,Public sector corruption,V-Dem,vdem_core_v2x_pubcorr,ok,
institutional_environment,degree_of_integrity,,3,Executive corruption,V-Dem,vdem_core_v2x_execorr,ok,
institutional_environment,degree_of_integrity,,4,Legislative corruption,V-Dem,vdem_core_v2lgcrrpt,ok,
institutional_environment,degree_of_integrity,,5,Regulations applied/enforced without improper influence,WJP,wjp_rol_6_2,ok,
institutional_environment,transparency_and_accountability,,1,Right to information,WJP,wjp_rol_3_2,ok,
institutional_environment,transparency_and_accountability,,2,Publicized laws and government data,WJP,wjp_rol_3_1,ok,
institutional_environment,transparency_and_accountability,,3,Open Budget Index,Open Budget Survey,ibp_obs_obi,ok,
institutional_environment,transparency_and_accountability,,4,Complaint mechanisms,WJP,wjp_rol_3_4,ok,
institutional_environment,transparency_and_accountability,,5,Digital Citizen Engagement Index,GTMI,wb_gtmi_dcei,verify,cliaretl family = 'Digital and Data Institutions' (cross-family reuse; benchmark_dynamic_family_aggregate = Yes)
institutional_environment,justice_and_rule_of_law,,1,Judicial accountability,V-Dem,vdem_core_v2juaccnt,ok,
institutional_environment,justice_and_rule_of_law,,2,Independent judiciary,BTI,bs_bti_q3_2,ok,
institutional_environment,justice_and_rule_of_law,,3,High court independence,V-Dem,vdem_core_v2juhcind,ok,
institutional_environment,justice_and_rule_of_law,,4,Judicial branch corruption,WJP,wjp_rol_2_2,ok,
institutional_environment,justice_and_rule_of_law,,5,Lower court independence,V-Dem,vdem_core_v2juncind,ok,
institutional_environment,justice_and_rule_of_law,,6,Fair trial,Global State of Democracy,idea_gsod_v_21_05,ok,
institutional_environment,justice_and_rule_of_law,,7,Expropriation without lawful process/adequate compensation,WJP,wjp_rol_6_6,verify,WJP renumbered 6.6 -> 6.5 in newer methodology; confirm cliaretl's current WJP pull vintage
institutional_environment,justice_and_rule_of_law,,8,Due process of law and rights of the accused,WJP,wjp_rol_4_3,verify,Resolved by text match: var_name 'basic rights of criminal suspects... presumption of innocence... freedom from arbitrary arrest'. NOT wjp_rol_8_2.
institutional_environment,justice_and_rule_of_law,,9,Alternative dispute resolution mechanisms,WJP,wjp_rol_7_7,ok,
institutional_environment,justice_and_rule_of_law,,10,People can access and afford civil justice,WJP,wjp_rol_7_1,verify,"WJP mislabel trap: historical db_variables_final entries carried the Factor 7 composite. In THIS cliaretl build var_name = 'People can access and afford civil justice' and the description is the narrow subfactor - appears corrected, but confirm against the standalone `wjp` pull (not present in this cliaretl)."
institutional_environment,justice_and_rule_of_law,,11,Civil justice is effectively enforced,WJP,wjp_rol_7_6,ok,
institutional_environment,justice_and_rule_of_law,,12,Civil justice is not subject to unreasonable delays,WJP,wjp_rol_7_5,ok,
institutional_environment,justice_and_rule_of_law,,13,Criminal adjudication system is timely and effective,WJP,,unresolved,reconfiguration.md flags wjp_rol_8_2 as dangerous; in this cliaretl var_name/description for wjp_rol_8_2 = 'criminal investigation system' (duplicates row 14). WJP 8.3 is not in closeness_to_frontier_dynamic. The corrected standalone `wjp` pull is not available in this cliaretl. Excluded pending team input.
institutional_environment,justice_and_rule_of_law,,14,Criminal investigation system is effective,WJP,wjp_rol_8_1,ok,
institutional_environment,justice_and_rule_of_law,,15,Criminal system is impartial,WJP,wjp_rol_8_4,ok,
institutional_environment,justice_and_rule_of_law,,16,Access to justice for men,V-Dem,vdem_core_v2clacjstm,ok,
